Индекс,Доходность,GARCH sigma,VaR 95% GARCH-t,ES 95% GARCH-t,Exception 95% GARCH-t,VaR 99% GARCH-t,ES 99% GARCH-t,Exception 99% GARCH-t,VaR 95% GARCH-normal,Exception 95% GARCH-normal,VaR 95% Historical,Exception 95% Historical,VaR 99% Historical,Exception 99% Historical
2025-10-28,-0.22781357325167478,1.0015909092701605,-1.5785637117610691,-2.151056887101438,0,-2.484824417544209,-3.097060644476918,0,-1.6147832226167684,0,-1.2274683295928928,0,-2.261527016697243,0
2025-10-29,-0.697114998367011,0.976841084600832,-1.5387488755625456,-2.097095451145549,0,-2.422615414859911,-3.0197229708626514,0,-1.5740733837430103,0,-1.2274683295928928,0,-2.261527016697243,0
2025-10-30,0.6887970994480701,0.9641347897437453,-1.5183083651676583,-2.0693922279781933,0,-2.390677979284799,-2.9800186376953226,0,-1.5531733885622165,0,-1.2274683295928928,0,-2.261527016697243,0
2025-10-31,-0.4214878492775553,0.9495577175831806,-1.4948583509521562,-2.037610194920339,0,-2.3540383208920037,-2.9344685433383932,0,-1.5291962385485782,0,-1.2274683295928928,0,-2.261527016697243,0
2025-11-03,-0.03541412617208137,0.9301098183295983,-1.4635726778804456,-1.9952084169655524,0,-2.3051557759433368,-2.873698202333893,0,-1.4972072909247365,0,-1.2274683295928928,0,-2.261527016697243,0
2025-11-04,-0.7673561066152946,0.9063349231896586,-1.4253262026718012,-1.9433725959610615,0,-2.245397271172501,-2.7994069657246623,0,-1.4581010684234157,0,-1.2274683295928928,0,-2.261527016697243,0
2025-11-05,0.03340034679214319,0.8997916430829761,-1.4148000826233036,-1.92910644276056,0,-2.2289506524526046,-2.7789606769925865,0,-1.4473383304077796,0,-1.2274683295928928,0,-2.261527016697243,0
2025-11-06,0.3888604595760214,0.8769553923979835,-1.37806359690839,-1.8793171252492331,0,-2.1715514425938562,-2.7076024946359176,0,-1.4097760406425965,0,-1.2274683295928928,0,-2.261527016697243,0
2025-11-07,0.19991095401787393,0.8583291881863412,-1.34809977778664,-1.8387068688495813,0,-2.124734238703265,-2.6493997670918383,0,-1.379138661088738,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-11-10,1.3467889648757618,0.8377221300561892,-1.3149493755131958,-1.7937778052143334,0,-2.072938133007099,-2.5850073135244833,0,-1.3452430667825577,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-11-11,0.42489820294830244,0.8643489893154426,-1.357783781576771,-1.851831693668957,0,-2.1398650862790576,-2.6682103009507783,0,-1.3890403528094668,0,-1.2080941913778063,0,-1.7478223970656872,0
2025-11-12,0.8904990865859743,0.8469501862097553,-1.3297944723611073,-1.8138975098094576,0,-2.0961329708573833,-2.613842927692815,0,-1.3604218684164626,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-11-13,-0.8180595631488213,0.8462319829823313,-1.3286391048286423,-1.81233162892029,0,-2.094327757806397,-2.6115987030353343,0,-1.359240529232946,0,-1.1249839549340217,0,-1.7478223970656872,0
2025-11-14,-1.194807411097578,0.8452273583393948,-1.3270229735576566,-1.8101412704408335,0,-2.091802620843039,-2.6084594754335906,0,-1.357588068745287,0,-1.1249839549340217,1,-1.7478223970656872,0
2025-11-17,-0.45043141001583537,0.8653598061403783,-1.3594098741592129,-1.854035552811018,0,-2.142405787371526,-2.671368877738095,0,-1.390702998530146,0,-1.1646037072630124,0,-1.7478223970656872,0
2025-11-18,0.3458137227025781,0.8500773142065098,-1.3348250570471027,-1.820715510315613,0,-2.1039930473041197,-2.623614504162314,0,-1.3655655362438657,0,-1.1646037072630124,0,-1.7478223970656872,0
2025-11-19,-0.01959096964119099,0.8317121671968386,-1.305281198465429,-1.7806744305332989,0,-2.0578320140488824,-2.5662275220608968,0,-1.335357557575511,0,-1.1646037072630124,0,-1.7478223970656872,0
2025-11-20,0.18206561665124418,0.8113626489675567,-1.2725450984791615,-1.7363068748300288,0,-2.0066832382065067,-2.5026398231559384,0,-1.3018855787093617,0,-1.1646037072630124,0,-1.7478223970656872,0
2025-11-21,0.07389887277026999,0.7923155199269254,-1.2419041411012017,-1.6947788863451927,0,-1.9588080343435395,-2.443121799545102,0,-1.2705558394238665,0,-1.1646037072630124,0,-1.7478223970656872,0
